value,series,economy,aggregate,time,indicator
63.222,SP.DYN.LE00.IN,YEM,False,YR2001,SP.DYN.LE00.IN
62.588,SP.DYN.LE00.IN,YEM,False,YR2000,SP.DYN.LE00.IN
61.975,SP.DYN.LE00.IN,YEM,False,YR1999,SP.DYN.LE00.IN
61.375,SP.DYN.LE00.IN,YEM,False,YR1998,SP.DYN.LE00.IN
61.119,SP.DYN.LE00.IN,YEM,False,YR1997,SP.DYN.LE00.IN
60.568,SP.DYN.LE00.IN,YEM,False,YR1996,SP.DYN.LE00.IN
60.453,SP.DYN.LE00.IN,YEM,False,YR1995,SP.DYN.LE00.IN
59.714,SP.DYN.LE00.IN,YEM,False,YR1994,SP.DYN.LE00.IN
59.859,SP.DYN.LE00.IN,YEM,False,YR1993,SP.DYN.LE00.IN
59.428,SP.DYN.LE00.IN,YEM,False,YR1992,SP.DYN.LE00.IN
59.049,SP.DYN.LE00.IN,YEM,False,YR1991,SP.DYN.LE00.IN
58.699,SP.DYN.LE00.IN,YEM,False,YR1990,SP.DYN.LE00.IN
58.218,SP.DYN.LE00.IN,YEM,False,YR1989,SP.DYN.LE00.IN
57.759,SP.DYN.LE00.IN,YEM,False,YR1988,SP.DYN.LE00.IN
57.096,SP.DYN.LE00.IN,YEM,False,YR1987,SP.DYN.LE00.IN
53.819,SP.DYN.LE00.IN,YEM,False,YR1986,SP.DYN.LE00.IN
55.693,SP.DYN.LE00.IN,YEM,False,YR1985,SP.DYN.LE00.IN
54.934,SP.DYN.LE00.IN,YEM,False,YR1984,SP.DYN.LE00.IN
53.923,SP.DYN.LE00.IN,YEM,False,YR1983,SP.DYN.LE00.IN
52.405,SP.DYN.LE00.IN,YEM,False,YR1982,SP.DYN.LE00.IN
51.709,SP.DYN.LE00.IN,YEM,False,YR1981,SP.DYN.LE00.IN
50.654,SP.DYN.LE00.IN,YEM,False,YR1980,SP.DYN.LE00.IN
49.394,SP.DYN.LE00.IN,YEM,False,YR1979,SP.DYN.LE00.IN
48.392,SP.DYN.LE00.IN,YEM,False,YR1978,SP.DYN.LE00.IN
47.286,SP.DYN.LE00.IN,YEM,False,YR1977,SP.DYN.LE00.IN
46.238,SP.DYN.LE00.IN,YEM,False,YR1976,SP.DYN.LE00.IN
45.245,SP.DYN.LE00.IN,YEM,False,YR1975,SP.DYN.LE00.IN
44.325,SP.DYN.LE00.IN,YEM,False,YR1974,SP.DYN.LE00.IN
43.348,SP.DYN.LE00.IN,YEM,False,YR1973,SP.DYN.LE00.IN
42.46,SP.DYN.LE00.IN,YEM,False,YR1972,SP.DYN.LE00.IN
41.542,SP.DYN.LE00.IN,YEM,False,YR1971,SP.DYN.LE00.IN
40.501,SP.DYN.LE00.IN,YEM,False,YR1970,SP.DYN.LE00.IN
39.474,SP.DYN.LE00.IN,YEM,False,YR1969,SP.DYN.LE00.IN
37.796,SP.DYN.LE00.IN,YEM,False,YR1968,SP.DYN.LE00.IN
36.866,SP.DYN.LE00.IN,YEM,False,YR1967,SP.DYN.LE00.IN
36.097,SP.DYN.LE00.IN,YEM,False,YR1966,SP.DYN.LE00.IN
35.373,SP.DYN.LE00.IN,YEM,False,YR1965,SP.DYN.LE00.IN
34.738,SP.DYN.LE00.IN,YEM,False,YR1964,SP.DYN.LE00.IN
33.247,SP.DYN.LE00.IN,YEM,False,YR1963,SP.DYN.LE00.IN
33.615,SP.DYN.LE00.IN,YEM,False,YR1962,SP.DYN.LE00.IN
34.098,SP.DYN.LE00.IN,YEM,False,YR1961,SP.DYN.LE00.IN
33.678,SP.DYN.LE00.IN,YEM,False,YR1960,SP.DYN.LE00.IN
,SP.DYN.LE00.IN,PSE,False,YR2023,SP.DYN.LE00.IN
73.444,SP.DYN.LE00.IN,PSE,False,YR2022,SP.DYN.LE00.IN
73.473,SP.DYN.LE00.IN,PSE,False,YR2021,SP.DYN.LE00.IN
74.403,SP.DYN.LE00.IN,PSE,False,YR2020,SP.DYN.LE00.IN
75.241,SP.DYN.LE00.IN,PSE,False,YR2019,SP.DYN.LE00.IN
74.793,SP.DYN.LE00.IN,PSE,False,YR2018,SP.DYN.LE00.IN
